,id,alt,sit,travelt,waitt,cost,choice,sit_2,rt
0,1,1,1,-20,-10,10,1,1,1.955
2,1,1,2,-10,-8,12,0,2,1.616
4,1,1,3,-20,-6,10,1,3,1.765
6,1,1,4,-5,-6,15,0,4,2.517
8,1,1,5,-10,-2,15,1,5,2.237
10,1,1,6,-5,-6,12,0,6,1.546
12,1,1,7,-20,-2,8,1,7,1.629
14,1,1,8,-20,-10,8,0,8,1.503
16,1,1,9,-5,-8,15,1,9,1.616
18,1,1,10,-20,-4,15,1,10,1.515
20,2,1,11,-15,-10,10,1,1,10.797
22,2,1,12,-15,-6,15,0,2,9.602
24,2,1,13,-10,-2,8,0,3,4.51
26,2,1,14,-5,-8,10,0,4,8.975
28,2,1,15,-10,-6,8,1,5,2.941
30,2,1,16,-15,-8,12,1,6,2.225
32,2,1,17,-10,-10,8,1,7,2.645
34,2,1,18,-15,-6,10,1,8,3.177
36,2,1,19,-20,-4,10,1,9,2.563
38,2,1,20,-20,-6,10,1,10,1.398
40,3,1,21,-20,-2,15,0,1,14.541
42,3,1,22,-20,-8,12,0,2,7.797
44,3,1,23,-15,-10,10,0,3,9.097
46,3,1,24,-5,-2,10,0,4,3.928
48,3,1,25,-5,-6,8,0,5,4.973
50,3,1,26,-5,-4,12,0,6,2.895
52,3,1,27,-15,-8,12,0,7,4.537
54,3,1,28,-20,-4,10,0,8,2.16
56,3,1,29,-5,-8,10,0,9,1.73
58,3,1,30,-5,-4,12,0,10,1.333
60,4,1,31,-15,-8,15,0,1,16.835
62,4,1,32,-15,-10,15,0,2,27.58
64,4,1,33,-5,-10,8,0,3,18.026
66,4,1,34,-5,-4,12,0,4,9.368
68,4,1,35,-5,-10,10,0,5,9.567
70,4,1,36,-5,-2,12,0,6,8.52
72,4,1,37,-5,-8,15,0,7,6.6
74,4,1,38,-5,-8,12,0,8,16.984
76,4,1,39,-10,-6,10,0,9,11.582
78,4,1,40,-5,-2,8,0,10,14.586
80,5,1,41,-20,-10,10,1,1,5.56
82,5,1,42,-10,-4,15,0,2,2.385
84,5,1,43,-15,-6,10,1,3,3.519
86,5,1,44,-5,-2,10,0,4,7.882
88,5,1,45,-20,-2,8,1,5,2.502
90,5,1,46,-10,-6,15,1,6,2.219
92,5,1,47,-5,-6,10,0,7,3.632
94,5,1,48,-15,-10,10,1,8,2.086
